Year,Period,Region,Site,Prey_Type,Eel_Prey_Count,mean_count,Eel_SE,Eel_SD,Eel_min,Eel_max,Eel_Total_Species,Eel_Proportion,Eel_sample_size_unique,Eel_sample_size,TT_Count,sum_count_forselectivity,mean_count_for_selectivity,mean_count_for_regression,TT_SE,TT_SD,adjusted_TT_count,Total_Species,TT_Proportion,TT_min,TT_max,TT_sample_size_unique,TT_sample_size
2009,3,PHD,A59,Coleoptera,0,0,,,0,0,1,0,1,1,0,1,0.045454545,0,0,0,0,102,0,0,0,1,21
2009,3,PHD,A59,Crayfish,0,0,,,0,0,1,0,1,1,50,50,2.272727273,2.380952381,0.626692719,2.871866823,57,102,0.558823529,0,11,7,21
2009,3,PHD,A59,Diptera,0,0,,,0,0,1,0,1,1,0,1,0.045454545,0,0,0,0,102,0,0,0,1,21
2009,3,PHD,A59,Fish,1,1,,,1,1,1,1,1,1,37,37,1.681818182,1.761904762,0.419209925,1.921061215,45,102,0.441176471,0,7,7,21
2009,3,PHD,A59,Gastropoda,0,0,,,0,0,1,0,1,1,0,1,0.045454545,0,0,0,0,102,0,0,0,1,21
2009,3,PHD,A59,Hemiptera,0,0,,,0,0,1,0,1,1,0,1,0.045454545,0,0,0,0,102,0,0,0,1,21
2009,3,PHD,A59,Miscellaneous,0,0,,,0,0,1,0,1,1,0,1,0.045454545,0,0,0,0,102,0,0,0,1,21
2009,3,PHD,A59,Odonata,0,0,,,0,0,1,0,1,1,0,1,0.045454545,0,0,0,0,102,0,0,0,1,21
2009,3,PHD,A59,Shrimp,0,0,,,0,0,1,0,1,1,0,1,0.045454545,0,0,0,0,102,0,0,0,1,21
2009,3,PHD,A59,UknownInsects,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2010,4,PHD,A55,Coleoptera,0,0,,,0,0,1,0,1,1,2,2,0.090909091,0.095238095,0.065638327,0.300792604,5,226,0.022123894,0,1,2,21
2010,4,PHD,A55,Crayfish,0,0,,,0,0,1,0,1,1,31,31,1.409090909,1.476190476,0.54168629,2.482318425,35,226,0.154867257,0,11,5,21
2010,4,PHD,A55,Diptera,0,0,,,0,0,1,0,1,1,0,1,0.045454545,0,0,0,0,226,0,0,0,1,21
2010,4,PHD,A55,Fish,0,0,,,0,0,1,0,1,1,123,123,5.590909091,5.857142857,0.734476536,3.365794324,148,226,0.654867257,1,15,11,21
2010,4,PHD,A55,Gastropoda,0,0,,,0,0,1,0,1,1,5,5,0.227272727,0.238095238,0.095238095,0.43643578,20,226,0.088495575,0,1,2,21
2010,4,PHD,A55,Hemiptera,0,0,,,0,0,1,0,1,1,8,8,0.363636364,0.380952381,0.161484047,0.74001287,8,226,0.03539823,0,3,3,21
2010,4,PHD,A55,Miscellaneous,0,0,,,0,0,1,0,1,1,2,2,0.090909091,0.095238095,0.065638327,0.300792604,2,226,0.008849558,0,1,2,21
2010,4,PHD,A55,Odonata,1,1,,,1,1,1,1,1,1,0,1,0.045454545,0,0,0,0,226,0,0,0,1,21
2010,4,PHD,A55,Shrimp,0,0,,,0,0,1,0,1,1,7,7,0.318181818,0.333333333,0.105409255,0.483045892,8,226,0.03539823,0,1,2,21
2010,4,PHD,A55,UknownInsects,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2011,3,PHD,A62,Coleoptera,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2011,3,PHD,A62,Crayfish,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2011,3,PHD,A62,Diptera,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2011,3,PHD,A62,Fish,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2011,3,PHD,A62,Gastropoda,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2011,3,PHD,A62,Hemiptera,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2011,3,PHD,A62,Miscellaneous,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2011,3,PHD,A62,Odonata,1,1,,,1,1,1,1,1,1,,,,,,,,,,,,,
2011,3,PHD,A62,Shrimp,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2011,3,PHD,A62,UknownInsects,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2011,4,PHD,A55,Coleoptera,1,0.125,0.125,0.353553391,0,1,14,0.071428571,2,8,4,4,0.181818182,0.19047619,0.148308681,0.679635757,11,221,0.049773756,0,3,3,21
2011,4,PHD,A55,Crayfish,4,0.5,0.188982237,0.534522484,0,1,14,0.285714286,2,8,88,88,4,4.19047619,0.660515843,3.026863849,100,221,0.452488688,0,10,11,21
2011,4,PHD,A55,Diptera,0,0,0,0,0,0,14,0,1,8,0,1,0.045454545,0,0,0,0,221,0,0,0,1,21
2011,4,PHD,A55,Fish,4,0.5,0.188982237,0.534522484,0,1,14,0.285714286,2,8,80,80,3.636363636,3.80952381,0.596094622,2.731648726,96,221,0.43438914,0,12,9,21
2011,4,PHD,A55,Gastropoda,0,0,0,0,0,0,14,0,1,8,0,1,0.045454545,0,0,0,0,221,0,0,0,1,21
2011,4,PHD,A55,Hemiptera,3,0.375,0.182981264,0.51754917,0,1,14,0.214285714,2,8,12,12,0.545454545,0.571428571,0.147542223,0.676123404,12,221,0.054298643,0,2,3,21
2011,4,PHD,A55,Miscellaneous,1,0.125,0.125,0.353553391,0,1,14,0.071428571,2,8,0,1,0.045454545,0,0,0,0,221,0,0,0,1,21
2011,4,PHD,A55,Odonata,1,0.125,0.125,0.353553391,0,1,14,0.071428571,2,8,2,2,0.090909091,0.095238095,0.065638327,0.300792604,2,221,0.009049774,0,1,2,21
2011,4,PHD,A55,Shrimp,0,0,0,0,0,0,14,0,1,8,0,1,0.045454545,0,0,0,0,221,0,0,0,1,21
2011,4,PHD,A55,UknownInsects,0,0,0,0,0,0,14,0,1,8,,,,,,,,,,,,,
2012,4,PHD,A55,Coleoptera,0,0,,,0,0,4,0,1,1,0,1,0.045454545,0,0,0,0,131,0,0,0,1,21
2012,4,PHD,A55,Crayfish,0,0,,,0,0,4,0,1,1,17,17,0.772727273,0.80952381,0.177351724,0.812727701,19,131,0.145038168,0,3,4,21
2012,4,PHD,A55,Diptera,0,0,,,0,0,4,0,1,1,0,1,0.045454545,0,0,0,0,131,0,0,0,1,21
2012,4,PHD,A55,Fish,1,1,,,1,1,4,0.25,1,1,45,45,2.045454545,2.142857143,0.332993024,1.525965736,54,131,0.41221374,0,5,6,21
2012,4,PHD,A55,Gastropoda,0,0,,,0,0,4,0,1,1,2,2,0.090909091,0.095238095,0.095238095,0.43643578,8,131,0.061068702,0,2,2,21
2012,4,PHD,A55,Hemiptera,1,1,,,1,1,4,0.25,1,1,17,17,0.772727273,0.80952381,0.235220744,1.077916862,17,131,0.129770992,0,3,4,21
2012,4,PHD,A55,Miscellaneous,0,0,,,0,0,4,0,1,1,0,1,0.045454545,0,0,0,0,131,0,0,0,1,21
2012,4,PHD,A55,Odonata,1,1,,,1,1,4,0.25,1,1,8,8,0.363636364,0.380952381,0.128659582,0.589592272,9,131,0.06870229,0,2,3,21
2012,4,PHD,A55,Shrimp,1,1,,,1,1,4,0.25,1,1,21,21,0.954545455,1,0.239045722,1.095445115,24,131,0.183206107,0,3,4,21
2012,4,PHD,A55,UknownInsects,0,0,,,0,0,4,0,1,1,,,,,,,,,,,,,
2016,3,PHD,A55,Coleoptera,1,0.166666667,0.166666667,0.40824829,0,1,14,0.071428571,2,6,2,2,0.090909091,0.095238095,0.095238095,0.43643578,5,360,0.013888889,0,2,2,21
2016,3,PHD,A55,Crayfish,0,0,0,0,0,0,14,0,1,6,0,1,0.045454545,0,0,0,0,360,0,0,0,1,21
2016,3,PHD,A55,Diptera,1,0.166666667,0.166666667,0.40824829,0,1,14,0.071428571,2,6,1,1,0.045454545,0.047619048,0.047619048,0.21821789,4,360,0.011111111,0,1,2,21
2016,3,PHD,A55,Fish,2,0.333333333,0.210818511,0.516397779,0,1,14,0.142857143,2,6,64,64,2.909090909,3.047619048,0.527691245,2.418185073,77,360,0.213888889,0,8,8,21
2016,3,PHD,A55,Gastropoda,0,0,0,0,0,0,14,0,1,6,0,1,0.045454545,0,0,0,0,360,0,0,0,1,21
2016,3,PHD,A55,Hemiptera,3,0.5,0.341565026,0.836660027,0,2,14,0.214285714,3,6,65,65,2.954545455,3.095238095,0.749300505,3.433726284,65,360,0.180555556,0,15,9,21
2016,3,PHD,A55,Miscellaneous,0,0,0,0,0,0,14,0,1,6,0,1,0.045454545,0,0,0,0,360,0,0,0,1,21
2016,3,PHD,A55,Odonata,4,0.666666667,0.210818511,0.516397779,0,1,14,0.285714286,2,6,18,18,0.818181818,0.857142857,0.544608703,2.495710606,20,360,0.055555556,0,11,4,21
2016,3,PHD,A55,Shrimp,3,0.5,0.223606798,0.547722558,0,1,14,0.214285714,2,6,166,166,7.545454545,7.904761905,1.336136509,6.122946692,189,360,0.525,1,21,12,21
2016,3,PHD,A55,UknownInsects,0,0,0,0,0,0,14,0,1,6,,,,,,,,,,,,,
2016,3,PHD,A59,Coleoptera,0,0,0,0,0,0,11,0,1,7,0,1,0.045454545,0,0,0,0,470,0,0,0,1,21
2016,3,PHD,A59,Crayfish,0,0,0,0,0,0,11,0,1,7,0,1,0.045454545,0,0,0,0,470,0,0,0,1,21
2016,3,PHD,A59,Diptera,0,0,0,0,0,0,11,0,1,7,1,1,0.045454545,0.047619048,0.047619048,0.21821789,4,470,0.008510638,0,1,2,21
2016,3,PHD,A59,Fish,0,0,0,0,0,0,11,0,1,7,71,71,3.227272727,3.380952381,0.9296087,4.260002236,86,470,0.182978723,0,19,8,21
2016,3,PHD,A59,Gastropoda,0,0,0,0,0,0,11,0,1,7,1,1,0.045454545,0.047619048,0.047619048,0.21821789,4,470,0.008510638,0,1,2,21
2016,3,PHD,A59,Hemiptera,5,0.714285714,0.420560041,1.112697281,0,3,11,0.454545455,3,7,124,124,5.636363636,5.904761905,1.701406648,7.796824751,124,470,0.263829787,0,27,11,21
2016,3,PHD,A59,Miscellaneous,0,0,0,0,0,0,11,0,1,7,7,7,0.318181818,0.333333333,0.199204768,0.912870929,7,470,0.014893617,0,4,3,21
2016,3,PHD,A59,Odonata,3,0.428571429,0.428571429,1.133893419,0,3,11,0.272727273,2,7,66,66,3,3.142857143,1.396058592,6.397544172,75,470,0.159574468,0,25,8,21
2016,3,PHD,A59,Shrimp,3,0.428571429,0.202030509,0.534522484,0,1,11,0.272727273,2,7,150,150,6.818181818,7.142857143,3.253046714,14.90733281,170,470,0.361702128,0,64,10,21
2016,3,PHD,A59,UknownInsects,0,0,0,0,0,0,11,0,1,7,,,,,,,,,,,,,
2016,3,PHD,A62,Coleoptera,1,0.047619048,0.047619048,0.21821789,0,1,41,0.024390244,2,21,4,4,0.181818182,0.19047619,0.087805185,0.402373908,11,220,0.05,0,1,2,21
2016,3,PHD,A62,Crayfish,0,0,0,0,0,0,41,0,1,21,0,1,0.045454545,0,0,0,0,220,0,0,0,1,21
2016,3,PHD,A62,Diptera,2,0.095238095,0.095238095,0.43643578,0,2,41,0.048780488,2,21,1,1,0.045454545,0.047619048,0.047619048,0.21821789,4,220,0.018181818,0,1,2,21
2016,3,PHD,A62,Fish,4,0.19047619,0.087805185,0.402373908,0,1,41,0.097560976,2,21,52,52,2.363636364,2.476190476,0.528335426,2.42113708,63,220,0.286363636,0,8,8,21
2016,3,PHD,A62,Gastropoda,5,0.238095238,0.19401475,0.889087279,0,4,41,0.12195122,3,21,2,2,0.090909091,0.095238095,0.095238095,0.43643578,8,220,0.036363636,0,2,2,21
2016,3,PHD,A62,Hemiptera,3,0.142857143,0.07824608,0.358568583,0,1,41,0.073170732,2,21,68,68,3.090909091,3.238095238,0.534098091,2.447544931,68,220,0.309090909,0,9,9,21
2016,3,PHD,A62,Miscellaneous,1,0.047619048,0.047619048,0.21821789,0,1,41,0.024390244,2,21,1,1,0.045454545,0.047619048,0.047619048,0.21821789,1,220,0.004545455,0,1,2,21
2016,3,PHD,A62,Odonata,15,0.714285714,0.208656212,0.956182887,0,3,41,0.365853659,4,21,21,21,0.954545455,1,0.43643578,2,24,220,0.109090909,0,9,4,21
2016,3,PHD,A62,Shrimp,9,0.428571429,0.130410133,0.597614305,0,2,41,0.219512195,3,21,36,36,1.636363636,1.714285714,0.366078688,1.677583296,41,220,0.186363636,0,7,6,21
2016,3,PHD,A62,UknownInsects,1,0.047619048,0.047619048,0.21821789,0,1,41,0.024390244,2,21,,,,,,,,,,,,,
2016,3,TSL,CP,Coleoptera,0,0,,,0,0,1,0,1,1,0,1,0.045454545,0,0,0,0,181,0,0,0,1,21
2016,3,TSL,CP,Crayfish,0,0,,,0,0,1,0,1,1,0,1,0.045454545,0,0,0,0,181,0,0,0,1,21
2016,3,TSL,CP,Diptera,0,0,,,0,0,1,0,1,1,0,1,0.045454545,0,0,0,0,181,0,0,0,1,21
2016,3,TSL,CP,Fish,0,0,,,0,0,1,0,1,1,96,96,4.363636364,4.571428571,0.575580157,2.637639637,116,181,0.640883978,0,10,9,21
2016,3,TSL,CP,Gastropoda,0,0,,,0,0,1,0,1,1,1,1,0.045454545,0.047619048,0.047619048,0.21821789,4,181,0.022099448,0,1,2,21
2016,3,TSL,CP,Hemiptera,0,0,,,0,0,1,0,1,1,26,26,1.181818182,1.238095238,0.307871045,1.410842369,26,181,0.143646409,0,4,5,21
2016,3,TSL,CP,Miscellaneous,0,0,,,0,0,1,0,1,1,4,4,0.181818182,0.19047619,0.111676566,0.511766316,4,181,0.022099448,0,2,3,21
2016,3,TSL,CP,Odonata,1,1,,,1,1,1,1,1,1,14,14,0.636363636,0.666666667,0.261254604,1.197219,16,181,0.08839779,0,4,5,21
2016,3,TSL,CP,Shrimp,0,0,,,0,0,1,0,1,1,13,13,0.590909091,0.619047619,0.200904982,0.920662287,15,181,0.082872928,0,3,3,21
2016,3,TSL,CP,UknownInsects,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2016,3,TSL,MD,Coleoptera,0,0,0,0,0,0,4,0,1,2,4,4,0.181818182,0.19047619,0.111676566,0.511766316,11,530,0.020754717,0,2,3,21
2016,3,TSL,MD,Crayfish,0,0,0,0,0,0,4,0,1,2,0,1,0.045454545,0,0,0,0,530,0,0,0,1,21
2016,3,TSL,MD,Diptera,0,0,0,0,0,0,4,0,1,2,0,1,0.045454545,0,0,0,0,530,0,0,0,1,21
2016,3,TSL,MD,Fish,0,0,0,0,0,0,4,0,1,2,164,164,7.454545455,7.80952381,1.170305307,5.363012657,198,530,0.373584906,1,22,12,21
2016,3,TSL,MD,Gastropoda,0,0,0,0,0,0,4,0,1,2,3,3,0.136363636,0.142857143,0.07824608,0.358568583,12,530,0.022641509,0,1,2,21
